Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-08-13,21:15,Coppa Italia,First round,Sun,Home,L,1.0,2.0,Reggiana,,,62.0,8178.0,Matteo Pessina,3-4-3,Alberto Santoro,Match Report,
2023-08-19,20:45,Serie A,Matchweek 1,Sat,Away,L,0.0,2.0,Inter,0.8,2.7,53.0,72509.0,Matteo Pessina,3-5-2,Andrea Colombo,Match Report,
2023-08-26,18:30,Serie A,Matchweek 2,Sat,Home,W,2.0,0.0,Empoli,2.0,1.0,54.0,8155.0,Matteo Pessina,3-4-3,Gianluca Aureliano,Match Report,
2023-09-02,20:45,Serie A,Matchweek 3,Sat,Away,L,0.0,3.0,Atalanta,0.4,1.3,59.0,14985.0,Matteo Pessina,3-4-3,Matteo Marcenaro,Match Report,
2023-09-17,15:00,Serie A,Matchweek 4,Sun,Home,D,1.0,1.0,Lecce,2.2,0.9,61.0,13074.0,Matteo Pessina,3-4-3,Livio Marinelli,Match Report,
2023-09-23,20:45,Serie A,Matchweek 5,Sat,Away,D,1.0,1.0,Lazio,1.2,1.0,51.0,36000.0,Matteo Pessina,3-4-3,Rosario Abisso,Match Report,
2023-09-28,18:30,Serie A,Matchweek 6,Thu,Home,D,0.0,0.0,Bologna,0.7,0.7,47.0,8930.0,Matteo Pessina,3-4-3,Ivan Pezzuto,Match Report,
2023-10-02,18:30,Serie A,Matchweek 7,Mon,Away,W,1.0,0.0,Sassuolo,1.5,1.4,56.0,10165.0,Matteo Pessina,3-4-3,Luca Zufferli,Match Report,
2023-10-08,12:30,Serie A,Matchweek 8,Sun,Home,W,3.0,0.0,Salernitana,2.8,0.6,57.0,12494.0,Matteo Pessina,3-4-3,Luca Massimi,Match Report,
2023-10-22,12:30,Serie A,Matchweek 9,Sun,Away,L,0.0,1.0,Roma,0.4,1.7,48.0,62022.0,Matteo Pessina,3-4-3,Giovanni Ayroldi,Match Report,
2023-10-29,15:00,Serie A,Matchweek 10,Sun,Home,D,1.0,1.0,Udinese,0.5,1.1,61.0,10311.0,Matteo Pessina,3-4-3,Alessandro Prontera,Match Report,
2023-11-05,12:30,Serie A,Matchweek 11,Sun,Away,W,3.0,1.0,Hellas Verona,0.9,1.0,54.0,17505.0,Matteo Pessina,4-2-3-1,Giuseppe Collu,Match Report,
2023-11-11,20:45,Serie A,Matchweek 12,Sat,Home,D,1.0,1.0,Torino,0.9,1.0,44.0,11777.0,Matteo Pessina,3-4-3,Daniele Doveri,Match Report,
2023-11-26,12:30,Serie A,Matchweek 13,Sun,Away,D,1.0,1.0,Cagliari,0.7,1.6,61.0,16291.0,Matteo Pessina,3-4-3,Matteo Marchetti,Match Report,
